必殺No,必殺技名,色,意味,動き方,基本姿勢,才能,特性,アドバイス,ON,OFF
11,ミケランジェロ,黄,独自の美学の中で生きている,お願いされてからやる！,世界最強の俺が世界を救う,自分独自の美意識で「美しい生き方」を創造する。,この必殺技を持ってる人には、デザイナーや建築家が多い。日常のすべての出来事を美しく芸術的にすることを目指している。ただし、その美しさというのは、自分が思う美しさであって、他人がどう思っているかの評価は全く関係なし。自分のために、自分の思うパーフェクトな美しさを追及して極めることが何よりも大事なことで、それをし続けていることがなにより幸せ。そして周囲の人は、この必殺技を持つ人が創り出す美学に触発されていく。,とにかく美しい行動、美しい人生を目指すこと。誰がなんと言おうと、自分が美しいと思えばオッケー。,自分の美学を大前提に行動して、誰にどう評価されようとも、その美学を追求し行動している。,自分の美意識を封印していたり、逆に自分の美学を人に押し付けたりして、ストレスを抱えている。
12,アイデアマン,水,アイデアを出しまくる,お願いされてからやる！,社会で遊ぶことが世界を救う,たとえそれが失敗談であっても、自分の経験したことをネタとして面白おかしく伝えることで、他者を導く才能。,"とにかくネタがドンドンあふれて、それを人に伝えまくる人。ウィットとアイデアに富んだネタがポンポン頭に浮かんでくる。その話の内容自体は具体的に形になることはなく、さほど金にもならないし、役にも立たないかもしれない。
しかし、この才能であらゆる経験をネタにして人に伝えるということ自体が、だれかの心の問題を解決する糸口になったり、新しい方向性への刺激になったりする。この必殺技を持っている人が周りにいたら、最初から最後まで話を聞いてあげよう。きっと自分自身のためになるはず。","湧き出すアイデアを実現させたいという欲を捨てることが、安心できる居場所を見つける方法。
そのとき初めて、素晴らしい才能を組織のために役立てることができる。",アイデアがたくさん必要なシーンで、思いついたことをのびのび話すブレストの王様。,アイデアを自分で形にしようとしたり、誰かをプロデュースしようとしたりして失敗している。
13,マリーアントワネット,赤,パンがなければケーキを食べればいいじゃない,宣言してからやる！,俺らしくいることが世界を救う,華やかにいつもド真ん中に座って、空気読まない発言で、世の中の人に新しい気付きを与える革命的なリーダー。,すごいわがままで感情的だけど、人からどう思われているかをすごく大事にするという、華やかに着飾ったお姫様のような存在。社交界の真ん中に座って、自分の感情のままにアイデアや思い付きをぱーんと表現して話す。突然発するその言葉が、自分で思う以上に人の感情を刺激していることにあまり気づかない。周りの人の情熱に火をくべるみたいな感じで、人を動かしもするし、イラっとさせたりもする。どちらにしても、人を動かす力だから、結果的に革命的なリーダーになる。,"気分がのらないときは、絶対に行動しないこと。
動いたり話したりする前に、一旦自分の気分をチェックするようにすれば、人への影響力がますます好転するはず。話す前に「ちょっと一言いいかしら？」といって、注意を集めてから話すとよい。",自分からどんどん動いて突然K Yに本質をズバッと言い、周囲の人をビックりさせている。,人目を避けて何も発言しないでおとなしくしている状態で、体調を崩している。
14,家政婦は見た,水,こいつに聞けば大抵の情報を持っている,お願いされてからやる！,社会で遊ぶことが世界を救う,誰も知らないような秘密の情報をなぜか手に入れてしまう才能と、優秀な聞き手としての才能をもつ。,この必殺技を持つ人に、情報が手に集まってくる。例えば、目の前で転んだ人がパンツをはいてないのを見てしまうとか、絶対秘密にしておきたかった浮気を、この人の前ではついついバラしてしまうなど。こちらは何も暴こうとしてるわけでもないのに、他人がやってきて、持っている秘密をわざわざ向こうから開示して伝えてくる。組織の機密情報とかをなぜか手に入れて持っている人が多い。こいつに聞けば大抵の情報がわかる。生来の聞き手の才能をもっていて、何かと人の相談に乗る機会も多い。,"人生に起こる経験のすべてが、その人にとって壮大な冒険のストーリーであることを確信すれば、すべてをリラックスして楽しむことができ
る。",勝手にいろんな情報が入ってきてそれをストックし、必要な場面で開示している。,人の秘密を知ることを恐れて、目を伏せたりパニックになったりしている。
15,芸術家,青,何度も繰り返すことから生まれる才能,お願いされてからやる！,社会にシェアすることで世界を救う,好きなことに熱中することで、品質の良いものを創造することができるようになった芸術家。,誰かに望まれれば不思議と勝手に降りてくるノウハウが、現実社会の中で本当に形になるかどうかを、ひたすら実験検証し続ける力。いまやりたいと思うことに熱中し、同じことを繰り返し繰り返し実験していくことで、おのずと才能が芸術家レベルにまで高まっていく。この必殺技を持つ人は完璧主義で、途中のプロセスの何をする時にも完璧に納得するまでやり続けるので、こなす仕事のクオリティが高い。だから結果的に品質の良いものを作る一流職人の芸術家になる。,とにかく誰かから望まれたことで、コレと思ったことを繰り返し努力すること。世のため人のためにその才能が活かされるまで頑張れ！,世の中から最高品質と評価される仕事をやり続け、次々と作品を世に出し続けている。,とりあえずのやっつけ仕事をして評価されていない。作品ができないことを嘆いて動かない。人生をかけて熱中できるものに出会えていない。
16,プロデューサー,青,死んでる個性を有機化してまとめて引っ張る,お願いされてからやる！,社会にシェアすることで世界を救う,"人の良いところを見て、有機化して、まとめて元気にし、最も輝くチームになるように引っ張
る力。",人々の才能をキャッチして、素材の個性を見出し、それを集めてオーガナイズする。料理で例えたら、玉ねぎは玉ねぎの、ジャガイモにはジャガイモの、肉には肉のおいしさを引き出す下ごしらえをして、絶妙の味付けをして肉じゃがを作る。目に見えない才能みたいなものを有機化して、見えるようにしたり言葉にしたりして、わかりやすく皆を導いてくれる人。どんな些細なことでも才能として掘り出して、目の前の人をやる気にさせてしまう力。,"目の前の人が望んでいないのに、頭に浮かんだアドバイスを口に出してはダメ。うざがられる。
相手から依頼があったときに才能を発揮すれば、優秀なプロデューサーとして活躍できる。",依頼があったプロジェクトにしっかり向き合って、思い通りに成果を出している勝利者。,評価されたいとか自分だけの利益を追いかけたりして、結果うまくいかず負けている状態。
17,ダメ出し,青,細かい部分だけに目がいく完璧主義者,お願いされてからやる！,社会にシェアすることで世界を救う,とにかく細かいことに気づき、何がおかしいかを見つけ出して指摘する能力。ひと言でいうと凝り性。,細かいところに気が付きすぎるのがこの必殺技を持つ人の特徴。スーパーコンピューターのバグを見つける作業などに向いている。凝り性で、チャレンジすることに意味があると思っているけど、何かを創るには細部にこだわりすぎて、全体が完成しない傾向。大掃除の時にも排水溝のみを完璧に磨き上げている。身体の奥から漁れ出るアドレナリンによって、活力が有り余っている状態の人が多いが、身体を動かすことを生活に適度に取り入れてエネルギーを消費すればイライラは治まる。,このエネルギーを身近な人に使いすぎると、嫌われるので注意。個人に向けずに組織や社会全体に貢献するために使うこと。,社会的に必要とされ、ひたすらバグを見つけることに集中している状態。,TPOを間違えて誰かに怒られ、こだわりを辞めたり、チマチマ仕事している状態。
18,固めの盃,緑,愛しすぎて殴ったり抱きしめたり,お願いされてからやる！,仲間と俺で世界を救う,溢れる感情を山ほど使って仲間や家族を守るカ。自分が必要とされているか、相手を必要としているかをスキンシップで確認する。,他人に認められることが何よりも大事。とにかくべったりスキンシップ大好きで、言葉以外にもいろんなコミュニケーション方法を持っている人。激しい感情のアップダウンとスキンシップが合体して、大好きな人をべったり抱きしめたり、殴ったり。片側のアイテム同士がつながった夫婦はさらに澱しい殴り合いをするけど、それが二人の愛し合い方。親子では、この必殺技を持つ子供が「ママー！」ってべったり抱きついてきても、この技を持ってない母親は「うっとおしい」って思い、子供はその温度差を「愛されてない」って勘違いしてしまうことがある。,大切な仲間や家族みんな揃って食事をすることで絆が深まり、安心感と感情の安定につながる。,"コミュニティの「こうあるべき」に従って、仲間とご飯を食べ、今を生きてい
る。",じっとり陰に隠れて感情を表現せず、みんなのために生きていない不幸な状態。
19,カリスマ,黄,好きなことで忙しいなら死んでもいい,前のめりになったらやる！,世界最強の俺が世界を救う,本当に自分がやりたい事を夢中で忙しくしていると、周りの人に力を与えることができる。,"基本的には他人のやり方を教えてもできない。
なぜなら教えられたことでは成功できないし、自分独自のやり方だけで成功する人だから。好きなことに没頭するとエネルギーアップするけど、成功する時にやってることは必ずしも好きじゃない場合もある。身体が無性に動いてしまった時に、エネルギーがグワって回る方向に全力でアクセル踏んでみるしかない。その独自のやり方でしか成功しないのがカリスマ。そして、その成功した姿で周りの人たちに勇気を与える。",身体の反応に従って全力でアクセルを踏んだときだけ形になるという人だから、頭で考えていることを絶ち切って、とにかく自分が動きながら、身体が反応して見えた光に向かって走れ！,好きなことで忙しかったら「死んでもいい」と思うくらいキラキラ輝いて元気になっている。,好きでもないことで忙しかったり、楽しくても暇な状態はダメ。身体壊します。
20,火事場の馬鹿力,赤,非常時にはコイツについていけ,お願いされてからやる！,俺らしくいることが世界を救う,いざという時、瞬時に直観が働き、どうするべきかが判って、身体が勝手にすごいパワーで動き出す超人的な能力。,"頭で考えたり、心で感じたりしている間は発動しない力。普段はなかなか難しいんだけど、火事場になったときには絶対に力を発揮する人。
ひとたび発動すると、誰もかなう者はいない。
借じられないような強い直感で音の鳴る方に、光の見える方に突っ走って、奇跡的に助かる。
事故や事件などの緊急時には、この人の裾を持って一緒に走ったらほかの人も生き残れる、そんな人。ピンとくる一発目の直感が、直接なにかの形になって現実を導く能力。",自分でも、なぜそうするのかが理解できないだろうけど、直観の出した選択を怖れず、自分を信じれば、世の中に大きく貢献することができる。考えている事と気持ちを無視できる環境だけが、唯一力を発揮できる状態。,頭もマインドも全部捨てて直感だけを使えば神。結果、スターになってる。,人の気持ちを考えて行動しすぎると、カスみたいな人生になっている。
21,マネー,緑,ズバリ、お金を稼ぐ能力,宣言してからやる！,仲間と俺で世界を救う,お金を追いかけて仕事をすれば、間違いなくびっくりするほどの物質的な豊かさを手に入れられる人。,"この必殺技を持ってる人は、絶対にお金を引き寄せる能力を持っているはずなのに、必殺技のスイッチを入れていないと、普通の人よりド貧乏になる。サラリーマン向きじゃないので、自分でビジネスを立ち上げるほうがいい。これ持ってるビルゲイツは、「世界中、一家に一台マイクロソフト」ってどでかいスローガン片手に金儲け商売したから成功した。ただの無欲なオタクやってたら、まったく成功してないはず。
どれだけ大きい金を狙うかで未来が大きく変わるから、金の亡者になったらうまくいく。","お金に対する罪悪感は今すぐ捨てること！大きく望めばそれだけのお金がやってくることを自覚して、この必殺技を意識して使わないと損。
たくさん稼いで分配する！帝王と呼ばれるのはキミだ。","自分の意志で「俺は儲ける」と決めて
動いている経営者思考",芸術やボランティアやってると、普通の人よりド貧乏になっている
22,作家,赤,ピカソのような奇人変人の物書き,お願いされてからやる！,俺らしくいることが世界を救う,文書や絵や映像などを作るのがむちゃくちゃうまい。天才的な芸術家の素質あり。,インスピレーションや思考の膨大な情報が、ぐっと凝縮されて形になる。抽象的なエネルギーを宇宙から受け取って、その訳のわからんことを、そのまま言葉で出そう出そうとしてる姿が、奇人変人に見える。これを持っている人は、考えが壮大すぎて言葉にならない状態であることが多い。だから、それを表現しようとすると一言では収まらず、壮大な物語にするしかない。他にも、絵を描いたり、音楽にしたり、詩を書いたり、本を書いたり、芸術で表現しようとする人。,自分の考えていることを表現することをトレーニングすれば、世界を変えるほどの壮大な英知をプレゼンテーションできる人になれる。,自分の受け取った情報を、ワクワクしながら芸術で表現しようとしている。,表現をあきらめて、しゃべらない出そうとしない状態が続くと、弱ってくる。
23,星の王子様,赤,人とは違うものが見えている人,お願いされてからやる！,俺らしくいることが世界を救う,絵本の星の王子様のような宇宙人的な視点で、人々に全く違った不思議なものの見方を教えることができる。,人が思いもつかないような不思議な目線で世の中を見てる人。常に俯瞰位置から、この世の矛盾を感じて、嘆き悲しんでいるので、他人から見ると、いつも少しうつ気味にみえる。童話の「しあわせの王子」がサファイアの瞳で街をみて話したことでつばめの人生を変えたように、この人の一言で、そばにいる人の考え方がガラリと変わったり、大きく人生を変える程の刺澈的なセリフを言うこともある。この世界の不思議について感じたことを周囲に伝え、世の中に向かって新しい考え方を生み出している。,この力は、自分のためでなく、ほかの人が幸せな気持ちになるために使いましょう。心を落ち着けるためには、静かな場所や、心地よい音楽が効果的です。,美しいものが見えていて、その世界観を誰かのために楽しんで使っている。,社会と考え方が合わないことを悩んだり、自分の世界観を自分のためにしか使わない。
24,一等賞,桃,競争して勝ち取り一番になる使命,お願いされてからやる！,俺大好きパワーが世界を救う,"誰よりも早く競争に参加して、必死で一等賞をとることで新しい気づきをどんどん手に入れ
る。","どんな仕事をしてもトップセールスマン。自分の能力以上に背伸びして、限界にチャレンジすることでワクワクするタイプ。競争することが好きで、少々ハードルの高い戦いでも必ず一等賞をとる人。逆に言えば、これを持っている人は、何らかの分野で一番にならないとダメ。負けず嫌いを隠しておとなしくしている人も多いけど、そういう人はなんかの病気になってる。
借念に従って競争に挑むことは、宇宙からの指令だと思ったほうがいい。チャレンジが、自分だけでなく周囲の人にとっても、刺数となって新しい気づきを与えることを自覚せよ！",マニュアルや誰かほかの人の編み出した方法を真似するだけでは、一等賞をとっても気づきは得られない。遠慮なく社長になれ！,一番になりたいというエネルギーに従って闘志に燃えている状態。,自分をおさえて周りに歩調をあわせ、気を使って病気になっている状態。
25,ビジネス,緑,プレゼンテーションの天才,お願いされてからやる！,仲間と俺で世界を救う,最小限の労力で、びっくりするほどの売り上げをあげてくる才能。,プレゼンテーションさせたら右に出るものなし、というほどプレゼンが上手。買ってほしいものを、ばら売りじゃなくセットで売りつけて帰ってくる。プロダクションなら、タレント全員の仕事まとめて取ってくる、販売会社なら隣の部署の商品までセットにして売ってくる。人を使うのも、クライアントとの交渉も天才的で、直感的に人の心を掴む方法を知っている。自分を無理に売り込まずに、オファーを待ってから動くようにすれば、一族みんなを儲けさせることができる天才。ただし、魚群のいるところへの網の投げ方が上手なのであって、魚を探す能力ではない。,仙あまりにも商才がありすぎるため、人にねたまれたりすることもあるので、同じ会社に所属して仕事をするより、コンサルタントのように、少し離れた立場から、プロジェクトにかかわるほうが成功しやすい。,たった5分仕事して他の人の一か月分を稼ぎ、いつも人を従えて歩いている。,他の人に気を使いながら9時5時で言われた通り働いて、利益出せずに空回りしている。
26,鎮守の森,黄緑,スーパー縁の下の力持ち！,前のめりになったらやる！,仲間を守る本能が世界を救う,"所属する場を守り繁栄させるエネルギー。
自分の今いる場に新しい価値観を生み出し、それを守りながらコントロールする。","沼の主である龍神様のように、自分が守るべき場を幾久しく守る力。この人自身は無意識に本能的に、場の新陳代謝を正常化する。その場にいる人全員を、食べさせ飲ませ、教育を施し、衣食住を共にして、大切に守っている。この人がいなくなると、その場はあっという間に崩壊し、居なくなって初めて周りはその存在の大きさに気づかされる。
悪いことは言いません。これを持つ人に感謝して大切にしてください。必殺技「エロ」が加われば、誰もが安心できる完全な場を作ることができます。",人に頼られやすいので、たくさんの作業を無理して引き受けないように注意。あなたがその場にいるだけで、すべての人は守られています。,"普段目立たないように縁の下の力持ち
として素晴らしい能力を発揮していて、みんなに感謝されている。",自分の守備範囲以上に手を出して失敗し、責任を負わされていると感じている。
27,ネバーギブアップ,赤,ロッキーの様に、戦うことに意味がある,お願いされてからやる！,俺らしくいることが世界を救う,ヒーローとしての使命を全うするため、わざわざ困難に立ち向かって戦う人。決してギブアップしない強さを持つ。,「俺がやる！」と、わざわざ、行かなくてもいいイバラの道を選んで、困難と戦っているヒーロー。戦って悩んで、もがき苦しんでいないと生きてる感じがしない。絶対にギブアップしない「強さ」と、自分の決めた道を曲げない「頑固さ」を持っている。傍から見たら相当大変そうな状況に見えたとしても、本人的には、好んでリスクを背負って戦うことに人生の意味があるので、好きにしてもらうしかない。もがいている姿が超カッコよく見える人。,誰に何と言われようと、我が道を進むこと。切り開いたその苦難の道は、きっと誰かの人生に影響を与えるはず。頭がもやもやするときは、身体を動かして汗をかくとすっきりする。もがき苦しむ姿を人に見せつけるようにするとスッキリし、人を勇気づけることもできる。「一生悩みますよ。でもあなたそれが好きでしょ？」,使命に燃えてもがき苦しんでいる時が、この人の調子のいい状態。,もがかず安全な道ばかり選んでいるときは、しょぼくれてかっこ悪い。
28,万馬券,水,人が失敗するところで成功する,前のめりになったらやる！,社会で遊ぶことが世界を救う,このチャネルを持つ人は、なぜか他人が失敗するところで成功する。,普通の人が手を出しそうもないことに「これだ！」とひらめいて、無知無謀なことをやり、うまくいく。だから万馬券。誰かに依頼されたことを「ハイ！」と機嫌よく返事して請け負い、楽しくイメージし、そのイメージ通りに動けばオッケー。常識や、他の人が一般的に選ぶ方法とは、全く違う動きをした方が上手くいく。ただし、機嫌よくハイが言えなかったときに、恐れと失望に襲われ体調を崩してしまう。メンタルのコントロールがすべてのカギを握っている。すべてはシンクロだと信じて、流れに身ををゆだねて楽しむこと！,関わっているプロセスには絶対に期待しないこと。今この瞬間を生きる経験を大切にしながら、抽象的な流れに身を任せていれば、それがどんな形であれ、予期せぬプレゼントを手に入れることができる。,変人と思われるほど世間の人と違う選択をして、妄想し楽しんでいる。,流行りや、世間の人が一般的に選ぶことをして、うまくいかない状態。マニュアルは「死者の書」と心得よ。
29,夢と魔法の王国,水,ファンタジーに浸ることがすべて,お願いされてからやる！,社会で遊ぶことが世界を救う,とてもファンタジックな夢と希望を語りながら、人の感情をおもいのまま動かす能力。,「夢見るファンタジーの国」に住んでいて、現実には別に何もしない。夢を見ていることが全て。そこが王国。夢を見て、感情に浸りきることで明日へのパワーとなり浄化を生み出す。会議の席でアイデアを出したり、新しい企画を話し出すと、とても夢のあるファンタジー的なアイデアが出て、周りを刺激する。食べたことのないものはとりあえず食べたいから、男性なら浮気性。アイテムをそれぞれ片方づつ持つ人同士がくっついて恋人になれば毎日がディズニーランドのように楽しい。,自分の夢を実現させようとしないこと、やりたいことを実現したら安らぎが手に入るのではなく、夢を見ることそのものが安らぎだということに気づくことが大事。ディズニーランドに遊びに行った後に「明日も頑張ろう！」という意識になる、それが核の必殺技。,ファンタジックなイメージの中にどっぷり浸って夢見て遊んでいる。ゲームのように現実を楽しんでいる。,現実をみて努力しようとしたり、誰かの役に立たなければいけないと苦しんでいる。
30,シンデレラ,緑,一夜にしてホームレスから大富豪へ,お願いされてからやる！,仲間と俺で世界を救う,実力が伴わなくても、どん底から最高の地位まで、あっという間に上がっていくビッグチャンスをつかむ。,そこらでリンゴを売っているただの親父が、ある日突然、「世界シェアとった幻のリンゴ」として注目され、世界ブランドとして有名になる、みたいな人。物質的な成功を目指すことが身体の内側から湧き上がる欲求なので、毎日寝る間も惜しんで努力している人。アドレナリンあふれるタイプで、ハタから見るとちょっと暑苦しい。途中の小さい報酬もきっちり受け取りながら、驚くようなビッグチャンスを無意識に見極める力がある。いい人であろうが、嫌味で鼻持ちならない奴であろうが、必ずチャンスをつかむシンデレラ。,大きな野心に向かって努力すれば、能力に関係なく大成功のチャンスが手に入る。,自分には幸運が備わっていると自覚し、堂々と野心を胸に、右斜め上を向いて生きている。,誰にも必要とされていないシーンで努力していても苦しいだけでド貧乏。
