1→No,アイテム名,対No,対アイテム名,必殺No,必殺技名,色,動き方,説明,ON,OFF
16.0,できる奴,48,方法論,15,芸術家,青,お願いされてからやる！,好きなことを繰り返しやり続けるパワー。好きこそモノの上手なれ,人に否定されてもくじけずに、楽しんで一つのことをやり続けている,自分で行動せずに、誰かほかの人にやらせようとして何も形にならない
17.0,組織のリーダー,62,守り神,16,プロデューサー,青,お願いされてからやる！,組織のメンバーの個性を見つけ出し、良いところを見て引っ張るリーダー,皆から求められ、皆を引っ張って、集団を創っている,自分のためだけに人々を動かそうとして失敗している
18.0,排水溝の溝掃除,58,マラソン男,17,ダメ出し,青,お願いされてからやる！,膨大なプログラムからバグを見つけ出す力,社会や組織の中で、悪いところを改善して引っ張るリーダー,身内に細かいダメ出しをして追い込んだり嫌われたりしている
19.0,ちゃっかり者,49,ツンデレ,18,固めの盃,緑,お願いされてからやる！,どんな時でも、物や自分の心地よい状況をちゃっかり確保する力,自分を先に満たしているから、周りの人に分け与える余裕がある,人のためにばかり利益を渡してしまい、あとから自分は貧乏くじを引いている気がする
20.0,今この時の光,10,自分好き,9,光よりも速く走れ,黄,お願いされてからやる！,思考より感情より直感よりもさらに早く、自分の進むべき方向に光が見えて身体が勝手に行動する,今この瞬間を生きてイキイキしている状態。ひかり背負って浮いている,地に足つけて周りのペースに合わせて、病人のように生きている
20.0,今この時の光,34,パワー全開,19,カリスマ,黄,お願いされてからやる！,思考より感情より直感よりもさらに早く、自分の進むべき方向に光が見えて身体が勝手に行動する,今この瞬間を生きてイキイキしている状態。ひかり背負って浮いている,地に足つけて周りのペースに合わせて、病人のように生きている
20.0,今この時の光,57,観音（音）,20,火事場の馬鹿力,黄,お願いされてからやる！,思考より感情より直感よりもさらに早く、自分の進むべき方向に光が見えて身体が勝手に行動する,今この瞬間を生きてイキイキしている状態。ひかり背負って浮いている,地に足つけて周りのペースに合わせて、病人のように生きている
21.0,仕切り,45,山師,21,マネー,緑,宣言してからやる！,お金をごっそり引き寄せ、受け取って仕切る資産管理の能力。番頭さん,金に関わることを自分で全部やっている状態がベスト。お金遣いが荒いほうが正解,お金の管理を誰かに任せてしまうと、ひどい争い事になり財産を失う。ただのケチ
22.0,気まま,12,人目が気になる,13,マリーアントワネット,赤,宣言してからやる！,感情のままに行動したり話したりしながら、いつも着飾っている。人の心を開くエネルギー,気ままに気分が乗った時だけ動いている状態でキラキラしている,いやいや動いてストレスいっぱいの空気を周りにも伝染させている
23.0,抽象表現の通訳,43,言葉にならない聞こえない,22,作家,赤,お願いされてからやる！,目の前の抽象的なものを、今いる状況に合わせた形で上手に表現する能力,芸術をうまく言葉にし、多くの人にわかるように表現するスキルを身につけ活躍して成功している,ありきたりの適当な言葉で片付けようとしたり、わからないと逃げたりしている
24.0,説明したい,61,ミステリー好き,23,星の王子様,赤,お願いされてからやる！,どんなことにも自分が納得できる説明をつけたいと思っている,聞き手があらわれたときに、上手に哲学的に説明できている,屁理屈をこねたり、無理に辻褄をあわせようとしている
25.0,シャーマン,51,ショック療法,24,一等賞,桃,お願いされてからやる！,神様の声をおろしてこられる人。神の声の代弁者,人の心の奥に耳を傾け、神の声を聞き人に伝え、それに従って生きることで常に幸せな状態,考えて行動しすぎたり常識に捕らわれて、うまくいかない状態
26.0,支配者,44,鼻が利く（気配）,25,ビジネス,緑,お願いされてからやる！,効率よく人を動かしてプロジェクトを成功させ稼ぐ力,正しく人を配置して上手に人を動かしながら稼いでいる,想いを伝えられず自分で動いてしまって成果が得られない状態
27.0,世話好き,50,体内酵素,26,鎮守の森,黄緑,前のめりになったらやる！,具体的に衣食住のお世話をするなど、暖かく仲間を守る力,仲間や家族のお世話を楽しんでいて、皆から感謝されている,盲目的に過保護なほど人の人生に関わったり、やらされていると感じている
28.0,リスクジャンキー,38,アメリカンヒーロー,27,ネバーギブアップ,赤,お願いされてからやる！,いばらの道をあえて選んで、生きる実感を手に入れる,命を懸けられるかどうかで判断して生きている,安全パイを選んで、安定を望むほど元気を失う
29.0,はい,46,魔法使い,28,万馬券,水,前のめりになったらやる！,自分の内なる声や他人の依頼に、まず元気にハイと言って、あとで楽しく動く方法を考える,とりあえずハイと言う。動くタイミングはあとでもオッケー,機嫌よくハイと言わない、文句ばかり言って逃げてばかりいる
30.0,ファンタジー,41,ばね,29,夢と魔法の王国,水,お願いされてからやる！,体験したことがないことを、とりあえずやってみたい,どんなことでも、やりたいという気持ちになったときにやっている,やりたいという気持ちがあるのに、やっても仕方がないと諦めてばかりいる
31.0,馬に乗った武将,7,先見の明,7,ジャンヌダルク,青,お願いされてからやる！,どうすれば目的を達成できるのかを、いちばん先頭から示す役割,祭り上げられて、周りの人の方向を指示するリーダー。多数決の多い方を叶える努力をしている,俺がやるといって実働ポジションに居座ってしまっている状態
32.0,見極める,54,野心家,30,シンデレラ,緑,お願いされてからやる！,人や物の価値を見極めて収集する才能,生きていくために必要なモノをうまく取り揃えて持っている,やみくもに何でも頑張ってしまって失敗している状態
33.0,秘密の鍵穴,13,カウンセラー,14,家政婦は見た,水,お願いされてからやる！,別に知りたくもないのに、人が秘密を持ってくる,暴いた移密をきちんと記録し、必要なシーンでバラしている,秘密を怖がって見ないふりをしているか、聞かれもしていないのに話す
34.0,パワー全開,10,自分好き,10,俺好きの三乗,桃,前のめりになったらやる！,目の前のことに全力でアクセルを踏み込む力。全てのアイテムの中で最強,どんなことでも全力で取り組んでいて元気な状態,だれかに遠慮したり、カを発揮できず不完全燃焼の状態
34.0,パワー全開,20,今この時の光,19,カリスマ,桃,前のめりになったらやる！,目の前のことに全力でアクセルを踏み込む力。全てのアイテムの中で最強,どんなことでも全力で取り組んでいて元気な状態,だれかに遠慮したり、カを発揮できず不完全燃焼の状態
34.0,パワー全開,57,観音（音）,31,おらおら,桃,前のめりになったらやる！,目の前のことに全力でアクセルを踏み込む力。全てのアイテムの中で最強,どんなことでも全力で取り組んでいて元気な状態,だれかに遠慮したり、カを発揮できず不完全燃焼の状態
35.0,行ってみよう,36,やってみよう,32,フーテンの寅さん,水,官言してからやる！,どこかに行ってみたいという気持ちだけで動く,行きたいところが見つかったら、誰かに伝えてから出かける,深く考えて行き先を決めたり、行く理由をこじつけたりしている
36.0,やってみよう,35,行ってみよう,32,フーテンの寅さん,水,官言してからやる！,いろんなことを、ただやってみたいだけ,自分の気持ちに従って適になんでもやってみる,やるまえによく考えたり、屁理屈をこねて理由をこじつける
37.0,身びいき,40,タツノオトシゴ,33,裏切者は許さん,緑,お願いされてからやる！,家族や仲間を何よりも大切にする,自分と大切な相手だけが幸せであるように動いている,仲間や家族が必要だということを隠していて寂しい状態
38.0,アメリカンヒーロー,28,リスクジャンキー,27,ネバーギブアップ,赤,お願いされてからやる！,映画の中に出てくるようなヒーロー。危ないことに遭遇するとカッコよく目立って結果を出す,逆境に立ち向かい、その境遇に浸りきって泣いている姿もかっこいい,恥ずかしがって前に出ないようにしたり、結果を怖がって逃げている
39.0,マリリンモンロー,55,ベートーベン,34,俳優,赤,お願いされてからやる！,他人の感情を挑発して、人から怒られたり石投げられたりするけど、それが役割,人をイライラさせているのがいい状態。気になってむかつく奴でオッケー,人に必死で合わせようとして自分を責めすぎてうつ気味になる
40.0,タツノオトシゴ,37,身びいき,33,裏切者は許さん,緑,お願いされてからやる！,オスが子供を生むタツノオトシゴのように、頑張ってお母さんになりたいニヒリスト,家族のように大切にできると思ったら、命懸けで尽くしている,自分のことを大切にされないと裏切られた気がしてイライラしている状態
41.0,ばね,30,ファンタジー,29,夢と魔法の王国,水,お願いされてからやる！,チャンスが来たら飛ぶために、ぐっと縮んで力をためる,何かを始める前に、少しづつしっかり確実に引いて待つ,すぐに行動しようとして失敗する
42.0,潮時,53,始めたがり,35,らせん階段,水,前のめりになったらやる！,一定の周期で、自分が始めたことを強制終了させられる,物事の引き際が体の反応で自然にわかる,引くべきタイミングがわからず、いつまでもダラダラ終われない
43.0,言葉にならない聞こえない,23,抽象表現の通訳,22,作家,赤,お願いされてからやる！,宇宙から降りてくる壮大なイメージを、言葉や芸術でなんとか表現しようとする力,頭に浮かぶことを、どうにかして表現しようと頑張っている,どこから話していいのかわからず、話すことをやめてしまっている状態
44.0,鼻が利く（気配）,26,支配者,25,ビジネス,緑,お願いされてからやる！,人や状況の気配を感じ取る能力。感じるのは一瞬だけなので、香水や嗅覚を妨げるものはつけないこと,行動を決めるとき、気配を舞で感じて決めている。危険な香りを避け、行けそうな香りで行く,あかんと思いながらも流されていると命に関わるような病気をすることも
45.0,山師,21,仕切り,21,マネー,緑,宣言してからやる！,金になりそうなモノを見つけ、お金を使ってお金を稼ぐ力。人生は金,親分気質で、皆のために大金を稼ぎ、皆のためにお金を配りまくる,ギャンブルに投資したり自分のためだけにお金をほしがると、ド貧乏になる
46.0,魔法使い,29,はい,28,万馬券,水,前のめりになったらやる！,思ったことが何でも叶う。イメージした通りに動くとうまくいく,何かをしようとするときには必ず先にイメージして動いている,何も考えずに動いたり、悪いことが起こるイメージをしている
47.0,ディレクター,64,素材集,36,編集室,水,お願いされてからやる！,自分の過去の経験に当てはめて、人生にストーリーを作る力,人から望まれたときに、上手にプランを出している,誰からも望まれていないのに、自分から見せようとする
48.0,方法論,16,できる奴,15,芸術家,青,お願いされてからやる！,この世界の生きる為の知恵を全て知っているが、人に聞かれないと答えられない,誰かに聞かれたことに素晴らしい答えを出し、感謝されている,聞かれてもいないのに方法を教えたり手を出して、うま＜いかない状態
49.0,ツンデレ,19,ちゃっかり者,18,固めの盃,緑,お願いされてからやる！,仲間になった者は、自分の原理原則に従って体を張って守る,仲間にいれてはいけない人を見極めて守る力を発揮している,誰でも彼でも 100%じないといけないと思っていて、苦しんでいる
50.0,体内酵素,27,世話好き,26,鎮守の森,黄緑,前のめりになったらやる！,人の個性を有機的に育てる力。これを持つ人が居なくなったら場が壊れる,直感でいるいらないを判断できていて、プロジェクト全体がうまくいっている,関わる人の感情や常識にとらわれすぎて、判断が鈍ってうまくいかない状態
51.0,ショック療法,25,シャーマン,24,一等賞,桃,お願いされてからやる！,刺激的でうっとうしい言葉を使い、相手に気づきを与える。耳元でラッパを鳴らすような感じ,信念に従って言葉を発していれば、少々毒を吐いてもOK,人を傷つけることを恐れ、嫌われないように我慢して病気になっている
52.0,ブッダ,9,一点集中,8,美女と野獣のバラ,青,前のめりになったらやる！,石のように動かずに、壮大な宇宙のビジョンを膨らませる,動かずに悶々と壮大なことを考えて安定している状態,問題を解こうと急ぐあまり、あれこれ動こうとして失敗している
53.0,始めたがり,42,潮時,35,らせん階段,水,前のめりになったらやる！,何か新しいことを始めようとする力が湧いてくる,いつもむずむず何かしたいと感じ、ベストなタイミングで動く,何も感じないか、やみくもに動こうとして空回りしている
54.0,野心家,32,見極める,30,シンデレラ,緑,お願いされてからやる！,「絶対に成功して金持ちになってやる！」という熱いパワーと裏工作,チャンスをうまく捕まえる為に計画的に裏工作して、上手に微笑む,欲を捨てて皆のためにただひたすら、無計画に努力していて不幸
55.0,ベートーベン,39,マリリンモンロー,34,俳優,赤,お願いされてからやる！,感情の起伏が一番激しいアイテム。音の周波数を感じてダイナミックに変化する自分の気持ちを味わう,音楽や感情のリズムに揉まれながらそれを表現するアーティスト,感じることから逃げて、無理に明るく自分を隠して生きている
56.0,芸人,11,ネタ出し,12,アイデアマン,水,お願いされてからやる！,話を盛りながら、体を張って笑いをとる芸人魂,ネタが来たら、面白おかしく周囲に披露してご機嫌な状態,こんなこと今言ったらあかんかな？と我慢して話をしない状態
57.0,観音（音）,10,自分好き,11,ミケランジェロ,黄,お願いされてからやる！,音で感じる直感力。人の心の中にじわーっと入って、そのエネルギーを音に変換して感じる,直感に従って物事を選んですべてがうまくいってる状態,頭で考えたり、人や世間に合わせすぎて元気がなくなっている
57.0,観音（音）,20,今この時の光,20,火事場の馬鹿力,黄,お願いされてからやる！,音で感じる直感力。人の心の中にじわーっと入って、そのエネルギーを音に変換して感じる,直感に従って物事を選んですべてがうまくいってる状態,頭で考えたり、人や世間に合わせすぎて元気がなくなっている
57.0,観音（音）,34,パワー全開,31,おらおら,黄,お願いされてからやる！,音で感じる直感力。人の心の中にじわーっと入って、そのエネルギーを音に変換して感じる,直感に従って物事を選んですべてがうまくいってる状態,頭で考えたり、人や世間に合わせすぎて元気がなくなっている
58.0,マラソン男,18,排水溝の溝掃除,17,ダメ出し,青,お願いされてからやる！,アドレナリンを出しまくって参加することに意味がある,燃え尽きるまでゴール目指して走りつづけている状態,参加したいのに世間や他人を気にして我慢している状態
59.0,誘惑,6,その気にさせる,6,エロ,黄緑,前のめりになったらやる！,いかにDNAを多く残すかが使命のアイテムで、これを持つ人はみんなエロっぽい,能動的にいろんな人や組織をそそのかしながら輝いている,愛のないものに対して執着し、病気になっている
60.0,マグマ,3,生みの苦しみ,3,陰極まって陽になる,赤,前のめりになったらやる！,出来事すべてをマグマのように取り込んで焼き尽くし突然新しい命を生み出す,全てを自分の中に取り込むことで、新しい何かを生み出すエネルギーに満ちて、周りに影響を与えている,自分のエネルギーの強さを自覚せずに殻に閉じこもり鬱になる
61.0,ミステリー好き,24,説明したい,23,星の王子様,赤,お願いされてからやる！,宇宙の意味を深く考えて、研究する人,この宇宙を人と違った視点で楽しんで研究している,周りと違う自分を否定したり、人に理解してもらえずイライラしている
62.0,守り神,17,組織のリーダー,16,プロデューサー,青,お願いされてからやる！,とことん細かいエネルギーで、用意周到にプロジェクトを守り、アドバイスを与える守り神,抜け目のない調査をして具体的な情報を与えている,自分を責めたり、小さい弱い者ばかりにダメ出しをしている
63.0,疑う人,4,答える人,4,未来思考派,青,お願いされてからやる！,抜け目のないほどに細かく、ありとあらゆるパターンで徹底的に疑い、安全を守る,具体的な問題が明確に分かっているときに考えて結果を出している,行動するほうが重要だと勘違いして自分で行動し、失敗している
64.0,素材集,47,ディレクター,36,編集室,水,お願いされてからやる！,もしもの時のために死ぬほど映像素材を集めている部屋,素材が自然に集まるままに集めて、ストックを楽しみ、望まれたら見せる,集まったものに無理に意味をつけ、見えた見えたと自慢するえせチャネラー
